,n_components,explained_variance,reconstruction_error,Method,ARI,Purity,F-Measure,Davies-Bouldin Index,Silhouette Coefficient,Calinski,Solving Time,Iterations
0,1,0.22174955930080104,,G-Means,0.035796766135685644,0.2222222222222222,0.22422422422422422,0.5191464569944656,0.5445641329285141,159655.35042198616,6.203329563140869,
1,2,0.2874665720408056,,G-Means,0.03653422641029288,0.2080808080808081,0.2070657797487066,0.6992053552641484,0.45127490427007494,6274.773976360569,5.752334117889404,
2,3,0.34671441604709513,,G-Means,0.03532813261675454,0.1919191919191919,0.20105820105820105,0.7936019983995827,0.39896228302979153,1441.7146124837886,5.886814117431641,
3,4,0.4004454234167457,,G-Means,0.023171405929514766,0.16767676767676767,0.18325329800739634,0.9265485876099615,0.3803219526068622,861.7959267176683,5.608464479446411,
4,5,0.44963261939012195,,G-Means,0.024404596114486348,0.15454545454545454,0.1704078912290056,0.9390234773230324,0.4038455940855547,707.388488634367,5.338684797286987,
5,6,0.49784055588758347,,G-Means,-0.00045431254146618624,0.11515151515151516,0.13306397306397308,0.8418437726410577,0.4672941183701575,631.5796551648666,5.338341236114502,
6,7,0.5444535572934976,,G-Means,-0.007754458473514443,0.09696969696969697,0.11228070175438597,0.7583156843250083,0.5103358773228499,567.8062803594121,5.268269062042236,
7,8,0.5901683731469194,,G-Means,-0.01004245042119448,0.09191919191919191,0.10881913303437965,0.7694428189106128,0.5108714456945935,572.8983271481235,5.305692434310913,
8,9,0.6353784581676054,,G-Means,-0.010064978315892304,0.09090909090909091,0.10810810810810811,0.6940696494386981,0.5766442082873091,591.4820262197866,5.2710349559783936,
9,10,0.68023658307076,,G-Means,-0.010064978315892304,0.09090909090909091,0.10810810810810811,0.6976778200564208,0.5936396781348648,574.4343696991277,5.268186807632446,
10,11,0.7249278390085926,,G-Means,-0.009546133343415059,0.09090909090909091,0.12500000000000003,0.7414123751494777,0.5909897993010806,470.61122119540084,5.361531734466553,
11,12,0.7695682166936282,,G-Means,-0.009546133343415059,0.09090909090909091,0.12500000000000003,0.7321022325996852,0.6070679757947145,479.4024658915365,5.337505578994751,
12,13,0.8140457064270349,,G-Means,-0.009546133343415059,0.09090909090909091,0.12500000000000003,0.8403637030234391,0.6000142004382664,391.5691784201419,5.28065824508667,
13,14,0.8584395765043789,,G-Means,-0.009546133343415059,0.09090909090909091,0.12500000000000003,0.900981483006858,0.5937428759639151,332.7089881328318,5.252633094787598,
14,15,0.8947994068486987,,G-Means,-0.009546133343415059,0.09090909090909091,0.12500000000000003,0.9687448910605907,0.5681857290488613,291.9075585845886,5.289055824279785,
15,16,0.9289644521061171,,G-Means,-0.00862948144661489,0.09090909090909091,0.13559322033898305,0.9653605733127613,0.5398233498364653,259.45678294180965,5.292176246643066,
16,17,0.9493669304965364,,G-Means,-0.00862948144661489,0.09090909090909091,0.13559322033898305,1.0048465885337599,0.5148056486514723,240.33692431597856,5.268571138381958,
17,18,0.9605099582412541,,G-Means,-0.00862948144661489,0.09090909090909091,0.13559322033898305,1.026261223403921,0.500915606088552,230.5050337359615,5.316774845123291,
18,19,0.9702328895586464,,G-Means,-0.00862948144661489,0.09090909090909091,0.13559322033898305,1.0447645313951601,0.49004914088920615,222.61709299608253,5.295623064041138,
19,20,0.9789598507829973,,G-Means,-0.00862948144661489,0.09090909090909091,0.13559322033898305,1.0595913913435033,0.4808679822781738,216.12038496342893,5.282681703567505,
20,21,0.986218141720535,,G-Means,-0.00862948144661489,0.09090909090909091,0.13559322033898305,1.0723790623654033,0.4739247209196314,210.84042398755665,5.267972946166992,
21,22,0.9917527813320991,,G-Means,-0.00862948144661489,0.09090909090909091,0.13559322033898305,1.0828654374523048,0.46875829470296854,206.96712036690292,5.378466606140137,
22,23,0.9960137529481402,,G-Means,-0.00862948144661489,0.09090909090909091,0.13559322033898305,1.090210763451315,0.46474577024678937,204.08191714748745,5.347830057144165,
23,24,0.9972273185431701,,G-Means,-0.00862948144661489,0.09090909090909091,0.13559322033898305,1.0921063133827844,0.4635680834117291,203.26632695026362,5.3718461990356445,
24,25,0.9983657365557694,,G-Means,-0.00862948144661489,0.09090909090909091,0.13559322033898305,1.0938583294243702,0.46261636397934447,202.50676529067786,5.361639738082886,
25,26,0.9992986014919055,,G-Means,-0.00862948144661489,0.09090909090909091,0.13559322033898305,1.095299295001176,0.461845161522711,201.88852520827086,5.310155153274536,
26,27,1.0,,G-Means,-0.00862948144661489,0.09090909090909091,0.13559322033898305,1.0963360308813244,0.461320973277692,201.4261241665126,5.321918725967407,
